tagname;description;engunits;lastmodified
U38.UV71.F_CV;Vanne analyse event ou compteur (F_CV);;25/02/2011 10:29:26
U39.ANIM_R100.F_CV;Animation R100 (F_CV);;25/02/2011 10:29:26
U39.ANIM_R200.F_CV;Animation R200 (F_CV);;25/02/2011 10:29:26
U39.ANIM_R300.F_CV;Animation R300 (F_CV);;25/02/2011 10:29:26
U39.ANIM_R400.F_CV;Animation R400 (F_CV);;25/02/2011 10:29:26
U39.AUTO_MANU_R100.F_CV;Passage Auto_Manu R100 (F_CV);;25/02/2011 10:29:26
U39.AUTO_MANU_R200.F_CV;Passage Auto_Manu R200 (F_CV);;25/02/2011 10:29:26
U39.AUTO_MANU_R300.F_CV;Passage Auto_Manu R300 (F_CV);;25/02/2011 10:29:26
U39.AUTO_MANU_R400.F_CV;Passage Auto_Manu R400 (F_CV);;25/02/2011 10:29:26
U39.BILAN_COURS_R100.F_CV;Test Bilan en Cours R100 (F_CV);;25/02/2011 10:29:26
U39.BILAN_COURS_R200.F_CV;Test Bilan en Cours R200 (F_CV);;25/02/2011 10:29:26
U39.BILAN_COURS_R300.F_CV;Test Bilan en Cours R300 (F_CV);;25/02/2011 10:29:26
U39.BILAN_COURS_R400.F_CV;Test Bilan en Cours R400 (F_CV);;25/02/2011 10:29:26
U39.COMPT_DEBI_CA1.F_CV;Calcul Débit Instantané (F_CV);;25/02/2011 10:29:26
U39.COMPT_DEBM_CA1.F_CV;Calcul Débit Moyen (F_CV);;25/02/2011 10:29:26
U39.COMPT_TR_CA1.F_CV;Calcul Nombre de Tour (F_CV);;25/02/2011 10:29:26
U39.COMPT_VOL_CA1.F_CV;Calcul Volume Compteur (F_CV);;25/02/2011 10:29:26
U39.FI_P100.F_CV;Mesure Débit Pompe P100 (F_CV);;25/02/2011 10:29:26
U39.FI_P200.F_CV;Mesure Débit Pompe P200 (F_CV);;25/02/2011 10:29:26
U39.FI_P300.F_CV;Mesure Débit Pompe P300 (F_CV);;25/02/2011 10:29:26
U39.FI_P400.F_CV;Mesure Débit Pompe P400 (F_CV);;25/02/2011 10:29:26
U39.FT100.F_CV;Débit charge entrée R100 (F_CV);l/h;25/02/2011 10:29:26
U39.FT111.F_CV;Débit H2 Entrée Réacteur R100 (F_CV);l/h;25/02/2011 10:29:26
U39.FT121.F_CV;Débit N2 Entrée Réacteur R100 (F_CV);l/h;25/02/2011 10:29:26
U39.FT200.F_CV;Débit charge entrée R200 (F_CV);l/h;25/02/2011 10:29:26
U39.FT211.F_CV;Débit H2 Entrée Réacteur R200 (F_CV);l/h;25/02/2011 10:29:26
U39.FT221.F_CV;Débit N2 Entrée Réacteur R200 (F_CV);l/h;25/02/2011 10:29:26
U39.FT300.F_CV;Débit charge entrée R300 (F_CV);l/h;25/02/2011 10:29:26
U39.FT311.F_CV;Débit H2 Entrée Réacteur R300 (F_CV);l/h;25/02/2011 10:29:26
U39.FT321.F_CV;Débit N2 Entrée Réacteur R300 (F_CV);l/h;25/02/2011 10:29:26
U39.FT400.F_CV;Débit charge entrée R400 (F_CV);l/h;25/02/2011 10:29:26
U39.FT411.F_CV;Débit H2 Entrée Réacteur R400 (F_CV);l/h;25/02/2011 10:29:26
U39.FT421.F_CV;Débit N2 Entrée Réacteur R400 (F_CV);l/h;25/02/2011 10:29:26
U39.FY111.F_CV;Consigne eff FIC111 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY121.F_CV;Consigne eff FIC121 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY211.F_CV;Consigne eff FIC211 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY221.F_CV;Consigne eff FIC221 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY311.F_CV;Consigne eff FIC311 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY321.F_CV;Consigne eff FIC321 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY411.F_CV;Consigne eff FIC411 pour histo (F_CV);;25/02/2011 10:29:26
U39.FY421.F_CV;Consigne eff FIC421 pour histo (F_CV);;25/02/2011 10:29:26
U39.GAIN_R100.F_14;PT132 Coeficient Metrologique A R100 (F_14);;25/02/2011 10:29:26
U39.GAIN_R100.F_15;PT161 Coeficient Metrologique A R100 (F_15);;25/02/2011 10:29:26
U39.GAIN_R100.F_19;FT111 Coeficient Metrologique A R100 (F_19);;25/02/2011 10:29:26
U39.GAIN_R100.F_3;TI104 Coeficient Metrologique A R100 (F_3);;25/02/2011 10:29:26
U39.GAIN_R100.F_4;TI105 Coeficient Metrologique A R100 (F_4);;25/02/2011 10:29:26
U39.GAIN_R100.F_5;TI106 Coeficient Metrologique A R100 (F_5);;25/02/2011 10:29:26
U39.GAIN_R100.F_6;TI107 Coeficient Metrologique A R100 (F_6);;25/02/2011 10:29:26
U39.GAIN_R200.F_14;PT232 Coeficient Metrologique A R200 (F_14);;25/02/2011 10:29:26
U39.GAIN_R200.F_15;PT261 Coeficient Metrologique A R200 (F_15);;25/02/2011 10:29:26
U39.GAIN_R200.F_19;FT211 Coeficient Metrologique A R200 (F_19);;25/02/2011 10:29:26
U39.GAIN_R200.F_3;TI204 Coeficient Metrologique A R200 (F_3);;25/02/2011 10:29:26
U39.GAIN_R200.F_4;TI205 Coeficient Metrologique A R200 (F_4);;25/02/2011 10:29:26
U39.GAIN_R200.F_5;TI206 Coeficient Metrologique A R200 (F_5);;25/02/2011 10:29:26
U39.GAIN_R200.F_6;TI207 Coeficient Metrologique A R200 (F_6);;25/02/2011 10:29:26
U39.GAIN_R300.F_14;PT332 Coeficient Metrologique A R300 (F_14);;25/02/2011 10:29:26
U39.GAIN_R300.F_15;PT361 Coeficient Metrologique A R300 (F_15);;25/02/2011 10:29:26
U39.GAIN_R300.F_19;FT311 Coeficient Metrologique A R300 (F_19);;25/02/2011 10:29:26
U39.GAIN_R300.F_3;TI304 Coeficient Metrologique A R300 (F_3);;25/02/2011 10:29:26
U39.GAIN_R300.F_4;TI305 Coeficient Metrologique A R300 (F_4);;25/02/2011 10:29:26
U39.GAIN_R300.F_5;TI306 Coeficient Metrologique A R300 (F_5);;25/02/2011 10:29:26
U39.GAIN_R300.F_6;TI307 Coeficient Metrologique A R300 (F_6);;25/02/2011 10:29:26
U39.GAIN_R400.F_14;PT432 Coeficient Metrologique A R400 (F_14);;25/02/2011 10:29:26
U39.GAIN_R400.F_15;PT461 Coeficient Metrologique A R400 (F_15);;25/02/2011 10:29:26
U39.GAIN_R400.F_19;FT411 Coeficient Metrologique A R400 (F_19);;25/02/2011 10:29:26
U39.GAIN_R400.F_3;TI404 Coeficient Metrologique A R400 (F_3);;25/02/2011 10:29:26
U39.GAIN_R400.F_4;TI405 Coeficient Metrologique A R400 (F_4);;25/02/2011 10:29:26
U39.GAIN_R400.F_5;TI406 Coeficient Metrologique A R400 (F_5);;25/02/2011 10:29:26
U39.GAIN_R400.F_6;TI407 Coeficient Metrologique A R400 (F_6);;25/02/2011 10:29:26
U39.KTY100.F_CV;Etat marche contacteur R100 (F_CV);;25/02/2011 10:29:26
U39.KTY200.F_CV;Etat marche contacteur R200 (F_CV);;25/02/2011 10:29:26
U39.KTY300.F_CV;Etat marche contacteur R300 (F_CV);;25/02/2011 10:29:26
U39.KTY400.F_CV;Etat marche contacteur R400 (F_CV);;25/02/2011 10:29:26
U39.LT161.F_CV;Niveau Séparateur S160 (F_CV);%;25/02/2011 10:29:26
U39.LT171.F_CV;Niveau Séparateur S170 (F_CV);%;25/02/2011 10:29:26
U39.LT261.F_CV;Niveau Séparateur S260 (F_CV);%;25/02/2011 10:29:26
U39.LT271.F_CV;Niveau Séparateur S270 (F_CV);%;25/02/2011 10:29:26
U39.LT361.F_CV;Niveau Séparateur S360 (F_CV);%;25/02/2011 10:29:26
U39.LT371.F_CV;Niveau Séparateur S370 (F_CV);%;25/02/2011 10:29:26
U39.LT461.F_CV;Niveau Séparateur S460 (F_CV);%;25/02/2011 10:29:26
U39.LT471.F_CV;Niveau Séparateur S470 (F_CV);%;25/02/2011 10:29:26
U39.MV171_1.F_CV;Calcul de la Position de MV171 (F_CV);;25/02/2011 10:29:26
U39.MV171_2.F_CV;Calcul de la Position de MV171 (F_CV);;25/02/2011 10:29:26
U39.MV271_1.F_CV;Calcul de la Position de MV271 (F_CV);;25/02/2011 10:29:26
U39.MV271_2.F_CV;Calcul de la Position de MV271 (F_CV);;25/02/2011 10:29:26
U39.MV371_1.F_CV;Calcul de la Position de MV371 (F_CV);;25/02/2011 10:29:26
U39.MV371_2.F_CV;Calcul de la Position de MV371 (F_CV);;25/02/2011 10:29:26
U39.MV471_1.F_CV;Calcul de la Position de MV471 (F_CV);;25/02/2011 10:29:26
U39.MV471_2.F_CV;Calcul de la Position de MV471 (F_CV);;25/02/2011 10:29:26
U39.MV71.F_CV;Calcul de la Position de MV71 (F_CV);;25/02/2011 10:29:26
U39.OFFSET_R100.F_14;PT132 Coeficient Metrologique B R100 (F_14);;25/02/2011 10:29:26
U39.OFFSET_R100.F_15;PT161 Coeficient Metrologique B R100 (F_15);;25/02/2011 10:29:26
U39.OFFSET_R100.F_19;FT111 Coeficient Metrologique B R100 (F_19);;25/02/2011 10:29:26
U39.OFFSET_R100.F_3;TI104 Coeficient Metrologique B R100 (F_3);;25/02/2011 10:29:26
U39.OFFSET_R100.F_4;TI105 Coeficient Metrologique B R100 (F_4);;25/02/2011 10:29:26
U39.OFFSET_R100.F_5;TI106 Coeficient Metrologique B R100 (F_5);;25/02/2011 10:29:26
U39.OFFSET_R100.F_6;TI107 Coeficient Metrologique B R100 (F_6);;25/02/2011 10:29:26
U39.OFFSET_R200.F_14;PT232 Coeficient Metrologique B R200 (F_14);;25/02/2011 10:29:26
U39.OFFSET_R200.F_15;PT261 Coeficient Metrologique B R200 (F_15);;25/02/2011 10:29:26
U39.OFFSET_R200.F_19;FT211 Coeficient Metrologique B R200 (F_19);;25/02/2011 10:29:26
U39.OFFSET_R200.F_3;TI204 Coeficient Metrologique B R200 (F_3);;25/02/2011 10:29:26
U39.OFFSET_R200.F_4;TI205 Coeficient Metrologique B R200 (F_4);;25/02/2011 10:29:26
U39.OFFSET_R200.F_5;TI206 Coeficient Metrologique B R200 (F_5);;25/02/2011 10:29:26
U39.OFFSET_R200.F_6;TI207 Coeficient Metrologique B R200 (F_6);;25/02/2011 10:29:26
U39.OFFSET_R300.F_14;PT332 Coeficient Metrologique B R300 (F_14);;25/02/2011 10:29:26
U39.OFFSET_R300.F_15;PT361 Coeficient Metrologique B R300 (F_15);;25/02/2011 10:29:26
U39.OFFSET_R300.F_19;FT311 Coeficient Metrologique B R300 (F_19);;25/02/2011 10:29:26
U39.OFFSET_R300.F_3;TI304 Coeficient Metrologique B R300 (F_3);;25/02/2011 10:29:26
U39.OFFSET_R300.F_4;TI305 Coeficient Metrologique B R300 (F_4);;25/02/2011 10:29:26
U39.OFFSET_R300.F_5;TI306 Coeficient Metrologique B R300 (F_5);;25/02/2011 10:29:26
U39.OFFSET_R300.F_6;TI307 Coeficient Metrologique B R300 (F_6);;25/02/2011 10:29:26
U39.OFFSET_R400.F_14;PT432 Coeficient Metrologique B R400 (F_14);;25/02/2011 10:29:26
U39.OFFSET_R400.F_15;PT461 Coeficient Metrologique B R400 (F_15);;25/02/2011 10:29:26
U39.OFFSET_R400.F_19;FT411 Coeficient Metrologique B R400 (F_19);;25/02/2011 10:29:26
U39.OFFSET_R400.F_3;TI404 Coeficient Metrologique B R400 (F_3);;25/02/2011 10:29:26
U39.OFFSET_R400.F_4;TI405 Coeficient Metrologique B R400 (F_4);;25/02/2011 10:29:26
U39.OFFSET_R400.F_5;TI406 Coeficient Metrologique B R400 (F_5);;25/02/2011 10:29:26
U39.OFFSET_R400.F_6;TI407 Coeficient Metrologique B R400 (F_6);;25/02/2011 10:29:26
U39.OPPIC161.F_CV;Sortie PID PIC161 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPPIC261.F_CV;Sortie PID PIC261 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPPIC361.F_CV;Sortie PID PIC361 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPPIC461.F_CV;Sortie PID PIC461 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC101.F_CV;Sortie PID TIC101 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC102.F_CV;Sortie PID TIC102 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC103.F_CV;Sortie PID TIC103 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC108.F_CV;Sortie PID TIC108 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC120.F_CV;Sortie PID TIC120 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC201.F_CV;Sortie PID TIC201 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC202.F_CV;Sortie PID TIC202 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC203.F_CV;Sortie PID TIC203 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC208.F_CV;Sortie PID TIC208 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC301.F_CV;Sortie PID TIC301 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC302.F_CV;Sortie PID TIC302 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC303.F_CV;Sortie PID TIC303 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC308.F_CV;Sortie PID TIC308 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC320.F_CV;Sortie PID TIC320 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC401.F_CV;Sortie PID TIC401 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC402.F_CV;Sortie PID TIC402 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC403.F_CV;Sortie PID TIC403 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC408.F_CV;Sortie PID TIC408 pour histo (F_CV);;25/02/2011 10:29:26
U39.OPTIC61.F_CV;Sortie PID TIC61 pour histo (F_CV);;25/02/2011 10:29:26
U39.PI_P100.F_CV;Mesure Pression Pompe P100 (F_CV);;25/02/2011 10:29:26
U39.PI_P200.F_CV;Mesure Pression Pompe P200 (F_CV);;25/02/2011 10:29:26
U39.PI_P300.F_CV;Mesure Pression Pompe P300 (F_CV);;25/02/2011 10:29:26
U39.PI_P400.F_CV;Mesure Pression Pompe P400 (F_CV);;25/02/2011 10:29:26
U39.PT11.F_CV;Pression H2 Entrée Réacteur (F_CV);Bar;25/02/2011 10:29:26
U39.PT132.F_CV;Pression H2 Réacteur R100 (F_CV);Bar;25/02/2011 10:29:26
U39.PT161.F_CV;Pression Séparateur S160 (F_CV);Bar;25/02/2011 10:29:26
U39.PT21.F_CV;Pression Azote Entrée Réacteur (F_CV);Bar;25/02/2011 10:29:26
U39.PT232.F_CV;Pression H2 Réacteur R200 (F_CV);Bar;25/02/2011 10:29:26
U39.PT261.F_CV;Pression Séparateur S260 (F_CV);Bar;25/02/2011 10:29:26
U39.PT332.F_CV;Pression H2 Réacteur R300 (F_CV);Bar;25/02/2011 10:29:26
U39.PT361.F_CV;Pression Séparateur S360 (F_CV);Bar;25/02/2011 10:29:26
U39.PT432.F_CV;Pression H2 Réacteur R400 (F_CV);Bar;25/02/2011 10:29:26
U39.PT461.F_CV;Pression Séparateur S460 (F_CV);Bar;25/02/2011 10:29:26
U39.PY161.F_CV;Consigne eff PIC161 pour histo (F_CV);;25/02/2011 10:29:26
U39.PY261.F_CV;Consigne eff PIC261 pour histo (F_CV);;25/02/2011 10:29:26
U39.PY361.F_CV;Consigne eff PIC361 pour histo (F_CV);;25/02/2011 10:29:26
U39.PY461.F_CV;Consigne eff PIC461 pour histo (F_CV);;25/02/2011 10:29:26
U39.SEQ_ACT_R100.F_CV;Séquence active R100 (F_CV);;25/02/2011 10:29:26
U39.SEQ_ACT_R200.F_CV;Séquence active R200 (F_CV);;25/02/2011 10:29:26
U39.SEQ_ACT_R300.F_CV;Séquence active R300 (F_CV);;25/02/2011 10:29:26
U39.SEQ_ACT_R400.F_CV;Séquence active R400 (F_CV);;25/02/2011 10:29:26
U39.SLTIC101.F_CV;Consigne eff TIC101 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC102.F_CV;Consigne eff TIC102 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC103.F_CV;Consigne eff TIC103 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC108.F_CV;Consigne eff TIC108 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC120.F_CV;Consigne eff TIC120 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC201.F_CV;Consigne eff TIC201 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC202.F_CV;Consigne eff TIC202 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC203.F_CV;Consigne eff TIC203 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC208.F_CV;Consigne eff TIC208 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC301.F_CV;Consigne eff TIC301 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC302.F_CV;Consigne eff TIC302 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC303.F_CV;Consigne eff TIC303 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC308.F_CV;Consigne eff TIC308 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC320.F_CV;Consigne eff TIC320 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC401.F_CV;Consigne eff TIC401 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC402.F_CV;Consigne eff TIC402 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC403.F_CV;Consigne eff TIC403 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC408.F_CV;Consigne eff TIC408 pour histo (F_CV);;25/02/2011 10:29:26
U39.SLTIC61.F_CV;Consigne eff TIC61 pour histo (F_CV);;25/02/2011 10:29:26
U39.TI100.F_CV;Température Compensation Soudure (F_CV);°C;25/02/2011 10:29:26
U39.TI101.F_CV;Température Four H100 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI102.F_CV;Température Four H100 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI103.F_CV;Température Four H100 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI104.F_CV;Température Réacteur R100 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI105.F_CV;Température Réacteur R100 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI106.F_CV;TempératureRéacteur R100 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI107.F_CV;Température Réacteur R100 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI108.F_CV;Température Ligne Entrée/Sortie R100 (F_CV);°C;25/02/2011 10:29:26
U39.TI110.F_CV;Température Injecteur R100 (F_CV);°C;25/02/2011 10:29:26
U39.TI121.F_CV;Température Ligne d'Azote de Stripping (F_CV);°C;25/02/2011 10:29:26
U39.TI201.F_CV;Température Four H200 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI202.F_CV;Température Four H200 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI203.F_CV;Température Four H200 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI204.F_CV;Température Réacteur R200 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI205.F_CV;Température Réacteur R200 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI206.F_CV;Température Réacteur R200 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI207.F_CV;Température Réacteur R200 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI208.F_CV;Température Ligne Entrée/Sortie R200 (F_CV);°C;25/02/2011 10:29:26
U39.TI210.F_CV;Température Injecteur R200 (F_CV);°C;25/02/2011 10:29:26
U39.TI301.F_CV;Température Four H300 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI302.F_CV;Température Four H300 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI303.F_CV;Température Four H300 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI304.F_CV;Température Réacteur R300 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI305.F_CV;Température Réacteur R300 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI306.F_CV;Température Réacteur R300 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI307.F_CV;Température Réacteur R300 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI308.F_CV;Température Ligne Entrée/Sortie R300 (F_CV);°C;25/02/2011 10:29:26
U39.TI310.F_CV;Température Injecteur R300 (F_CV);°C;25/02/2011 10:29:26
U39.TI321.F_CV;Température Ligne d'Azote de Stripping (F_CV);°C;25/02/2011 10:29:26
U39.TI401.F_CV;Température Four H400 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI402.F_CV;Température Four H400 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI403.F_CV;Température Four H400 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI404.F_CV;Température Réacteur R400 Haut (F_CV);°C;25/02/2011 10:29:26
U39.TI405.F_CV;Température Réacteur R400 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI406.F_CV;Température Réacteur R400 Milieu (F_CV);°C;25/02/2011 10:29:26
U39.TI407.F_CV;Température Réacteur R400 Bas (F_CV);°C;25/02/2011 10:29:26
U39.TI408.F_CV;Température Ligne Entrée/Sortie R400 (F_CV);°C;25/02/2011 10:29:26
U39.TI410.F_CV;Température Injecteur R400 (F_CV);°C;25/02/2011 10:29:26
U39.TI42.F_CV;Température Bac de Charge B-40 (F_CV);°C;25/02/2011 10:29:26
U39.TI52.F_CV;Température Bac de Charge B-50 (F_CV);°C;25/02/2011 10:29:26
U39.TI61.F_CV;Température Régulation Etuve ET-60 (F_CV);°C;25/02/2011 10:29:26
U39.TI62.F_CV;Température Mesure Etuve ET-60 (F_CV);°C;25/02/2011 10:29:26
U39.U39_RUN1.F_CV;Run Réacteur 100 (F_CV);;25/02/2011 10:29:26
U39.U39_RUN2.F_CV;Run Réacteur 200 (F_CV);;25/02/2011 10:29:26
U39.UV71.F_CV;Vanne Analyse ou Compteur (F_CV);;25/02/2011 10:29:26
U446.AI12.F_CV;Mesure Humidité Solvant (F_CV);ppm;27/03/2012 14:51:53
U446.AI2.F_CV;Mesure Humidité Charge (F_CV);ppm;27/03/2012 14:51:53
U446.AI22.F_CV;Mesure Humidité Reflux (F_CV);ppm;27/03/2012 14:51:53
U446.AI3.F_CV;Hygrométrie Raffinat (F_CV);ppm;10/04/2012 09:52:20
U446.AI51.F_CV;Mesure Masse Volumique Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.AI61.F_CV;Mesure Humidité Extrait (F_CV);ppm;27/03/2012 14:51:53
U446.AI71.F_CV;Mesure Humidité Raffinat (F_CV);ppm;27/03/2012 14:51:53
U446.ALRM_P.F_CV;Nb d'Alarmes Non Acquittées Zone P (F_CV);;27/03/2012 14:51:53
U446.AN-BIL.F_CV;U446.AN-BIL.F_CV;;27/03/2012 14:51:53
U446.AT-BIL.F_CV;U446.AT-BIL.F_CV;;27/03/2012 14:51:53
U446.AT12.F_CV;Humidité Solvant (F_CV);ppm;27/03/2012 14:51:53
U446.AT2.F_CV;Humidité Charge (F_CV);ppm;27/03/2012 14:51:53
U446.AT22.F_CV;Humidité Reflux (F_CV);ppm;27/03/2012 14:51:53
U446.AT51.F_CV;Densité Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.AT61.F_CV;Humidité Extrait (F_CV);ppm;27/03/2012 14:51:53
U446.AT71.F_CV;Humidité Raffinat (F_CV);ppm;27/03/2012 14:51:53
U446.ATCHA.F_CV;Densité Charge Calculée (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAEB.F_CV;Densité EB Calculée avec T° Charge (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAMX.F_CV;Densité MX Calculée avec T° Charge (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAOX.F_CV;Densité OX Calculée avec T° Charge (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAPDEB.F_CV;Densité PDEB Calculée avec T° Charge (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAPX.F_CV;Densité PX Calculée avec T° Charge (F_CV);kg/m;27/03/2012 14:51:53
U446.ATCHAREC.F_CV;Densité Charge Calculée avec T° Recyclag (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXT.F_CV;Densité Extrait Calculée (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXTEB.F_CV;Densité EB Calculée avec T° Extrait (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXTMX.F_CV;Densité MX Calculée avec T° Extrait (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXTOX.F_CV;Densité OX Calculée avec T° Extrait (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXTPDEB.F_CV;Densité PDEB Calculée avec T° Extrait (F_CV);kg/m;27/03/2012 14:51:53
U446.ATEXTPX.F_CV;Densité PX Calculée avec T° Extrait (F_CV);kg/m;27/03/2012 14:51:53
U446.ATP12.F_CV;Mesure AT12 en % (F_CV);%;27/03/2012 14:51:53
U446.ATP2.F_CV;Mesure AT2 en % (F_CV);%;27/03/2012 14:51:53
U446.ATP22.F_CV;Mesure AT22 en % (F_CV);%;27/03/2012 14:51:53
U446.ATP51.F_CV;Mesure AT51 en % (F_CV);%;27/03/2012 14:51:53
U446.ATP61.F_CV;Mesure AT61 en % (F_CV);%;27/03/2012 14:51:53
U446.ATP71.F_CV;Mesure AT71 en % (F_CV);%;27/03/2012 14:51:53
U446.ATRAF.F_CV;Densité Raffinat Calculée (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRAFEB.F_CV;Densité EB Calculée avec T° Raffinat (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRAFMX.F_CV;Densité MX Calculée avec T° Raffinat (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRAFOX.F_CV;Densité OX Calculée avec T° Raffinat (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRAFPDEB.F_CV;Densité PDEB Calculée avec T° Raffinat (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRAFPX.F_CV;Densité PX Calculée avec T° Raffinat (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREC.F_CV;Densité Recyclage Calculée (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRECEB.F_CV;Densité EB Calculée avec T° Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRECMX.F_CV;Densité MX Calculée avec T° Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRECOX.F_CV;Densité OX Calculée avec T° Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRECPDEB.F_CV;Densité PDEB Calculée avec T° Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.ATRECPX.F_CV;Densité PX Calculée avec T° Recyclage (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREF.F_CV;Densité Reflux Calculée (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREFEB.F_CV;Densité EB Calculée avec T° Reflux (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREFMX.F_CV;Densité MX Calculée avec T° Reflux (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREFOX.F_CV;Densité OX Calculée avec T° Reflux (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREFPDEB.F_CV;Densité PDEB Calculée avec T° Reflux (F_CV);kg/m;27/03/2012 14:51:53
U446.ATREFPX.F_CV;Densité PX Calculée avec T° Reflux (F_CV);kg/m;27/03/2012 14:51:53
